 delta_p[0][1]  delta_p[0][2]  delta_p[0][3]  delta_p[0][4]  delta_p[1][0]  delta_p[1][2]  delta_p[2][0]  delta_p[2][1]  delta_p[3][0]  delta_p[3][4]  delta_p[4][0]  delta_p[4][3] 
 0.0023276593035141957  -0.0027250212968290555  0.0020519186325742567  -0.002401109562271131  -0.0023117772218874677  9.792274617836938E-6  0.002733551296898895  -9.792274617836938E-6  -0.002035103477439293  8.63005078599599E-6  0.002411219973211587  -8.63005078599599E-6 
 0.0022803865791161115  -0.0026672533305429624  0.001991553812970892  -0.0023283185726370448  -0.002259179748907769  9.58494427294454E-6  0.002680173116171858  -9.58494427294454E-6  -0.001969288527277513  8.36870576392812E-6  0.002343049327095059  -8.36870576392812E-6 
 0.0021995235334948404  -0.0025702827428517594  0.001903565251012651  -0.0022235051519601257  -0.00217218712725753  9.236948237401066E-6  0.0025884325338232372  -9.236948237401066E-6  -0.0018750315216777835  7.992573927140256E-6  0.0022437015203990995  -7.992573927140256E-6 
 0.0024223833801038097  -0.002828045789549094  0.00212356483754661  -0.0024779609178011697  -0.002393242173361898  1.0163961817966083E-5  0.0028520944864958153  -1.0163961817966083E-5  -0.00209327738870968  8.90770412809161E-6  0.0025042793425029686  -8.90770412809161E-6 
 0.002329212007406767  -0.0027194402252668226  0.0020294823902133885  -0.0023683058478383145  -0.002300622341483205  9.77431035664722E-6  0.0027432061260022067  -9.77431035664722E-6  -0.001999716577245181  8.514152909810946E-6  0.002394377124645075  -8.514152909810946E-6 
 0.0022389245610625608  -0.0026141825366643445  0.0019397690860927241  -0.0022637343053730774  -0.0022108678726731057  9.396618864343509E-6  0.002637676041871373  -9.396618864343509E-6  -0.0019105049094463311  8.138755575259893E-6  0.002289565327785681  -8.138755575259893E-6 
 0.002145825860608852  -0.0025056238395890773  0.001847889760824728  -0.002156619884601696  -0.0021183012791361477  9.007029419194623E-6  0.002528855520807838  -9.007029419194623E-6  -0.0018191263697246995  7.75417775855658E-6  0.0021822189929707747  -7.75417775855658E-6 
 0.00565751037996165  -0.006606522358740818  0.005362248598132169  -0.006258472326422293  -0.005680027467008131  2.3749491884217377E-5  0.006630175863254095  -2.3749491884217377E-5  -0.005385825297281599  2.2501973234057004E-5  0.006284592629739905  -2.2501973234057004E-5 
 0.005044432183670011  -0.005891386994186121  0.004748083382125401  -0.005542358471686271  -0.005063306394159639  2.1181220571264703E-5  0.005911368147632601  -2.1181220571264703E-5  -0.004767892791065265  1.9930778336174626E-5  0.00556450477888859  -1.9930778336174626E-5 
 0.004497256205596045  -0.00525306672734871  0.004202742208917698  -0.004906440873810425  -0.004512943366048461  1.8887466616490656E-5  0.005269746225604166  -1.8887466616490656E-5  -0.004219251569608673  1.7645051457293448E-5  0.004925000478493757  -1.7645051457293448E-5 
 0.003986375446228152  -0.004656962847864321  0.0036937783778228095  -0.0043128225150042  -0.00399924297576959  1.6745207375379323E-5  0.004670706627120325  -1.6745207375379323E-5  -0.0037073588785148104  1.5511158252934365E-5  0.004328177530240396  -1.5511158252934365E-5 
 0.001530914096186109  -0.0017887091036108416  0.00123986184625835  -0.0014478417442376212  -0.001516941220511825  6.432016679269736E-6  0.001800055128967415  -6.432016679269736E-6  -0.001225070709068632  5.207444559118812E-6  0.0014605708508668158  -5.207444559118812E-6 
 0.0014632920126693705  -0.0017114000294498055  0.0011768209661511264  -0.001375587836761838  -0.0014545812085984267  6.153624909188693E-6  0.0017181568985193962  -6.153624909188693E-6  -0.0011674676322712685  4.947763144969031E-6  0.0013834135074972664  -4.947763144969031E-6 
 0.0013936904747140488  -0.0016316580070707687  0.0011093493927774034  -0.0012980245884364194  -0.0013887794870086623  5.866954865041407E-6  0.0016351778213703483  -5.866954865041407E-6  -0.0011039558101799685  4.668801253160382E-6  0.0013023382385313198  -4.668801253160382E-6 
 0.0013414914220000185  -0.0015721206834484747  0.0010585019376776472  -0.0012397833043991113  -0.0013391117376002626  5.654018220724311E-6  0.0015735527629949786  -5.654018220724311E-6  -0.001055779406755164  4.459732735995203E-6  0.0012417735966749888  -4.459732735995203E-6 
 0.0015855550637553506  -0.0018600694238344317  0.0013029132289261725  -0.0015276141321152181  -0.0015850336917218044  6.68913330059695E-6  0.0018604796545780289  -6.68913330059695E-6  -0.0013022572613863304  5.494874613987122E-6  0.0015285860181961652  -5.494874613987122E-6 
 0.0014373029100696044  -0.0016881438127072101  0.001153541705505745  -0.0013540789039154788  -0.001437265361985851  6.071526520656789E-6  0.0016877130453067934  -6.071526520656789E-6  -0.001153427021890252  4.871071794809723E-6  0.001353968331969213  -4.871071794809723E-6 
 0.0013246437123086707  -0.001557674927678221  0.0010398462530218922  -0.0012220620660343684  -0.0013247405739029716  5.602386718095431E-6  0.0015571896334201085  -5.602386718095431E-6  -0.0010399082342900101  4.396246239934953E-6  0.0012217208700491256  -4.396246239934953E-6 
 0.0012500577184120232  -0.0014717173882878853  9.642391062527622E-4  -0.001134547180726031  -0.001250110301320717  5.293311971854564E-6  0.0014715225178925095  -5.293311971854564E-6  -9.642828319869068E-4  4.081487901430592E-6  0.0011343887495485205  -4.081487901430592E-6 
 0.001214046900731347  -0.0014310228009719594  9.272391833405891E-4  -0.0010923042603820932  -0.001214046900731347  5.1470136774867115E-6  0.0014310228009719594  -5.1470136774867115E-6  -9.272391833405891E-4  3.92957572614705E-6  0.0010923042603820932  -3.92957572614705E-6 
 0.0012077530846035245  -0.0014265078837389922  9.197976334434088E-4  -0.0010857418902929794  -0.0012077530846035245  5.130794523466875E-6  0.0014265078837389922  -5.130794523466875E-6  -9.197976334434088E-4  3.905976669216216E-6  0.0010857418902929794  -3.905976669216216E-6 
 0.0012130092680635585  -0.00143564110284089  9.233416935359173E-4  -0.0010921449294443164  -0.0012130092680635585  5.1636189901671514E-6  0.00143564110284089  -5.1636189901671514E-6  -9.233416935359173E-4  3.928998339119971E-6  0.0010921449294443164  -3.928998339119971E-6 
 0.0012269283894816851  -0.001455083149593861  9.349941064584755E-4  -0.001108183176569355  -0.0012269283894816851  5.233487055278374E-6  0.001455083149593861  -5.233487055278374E-6  -9.349941064584755E-4  3.986658583698954E-6  0.001108183176569355  -3.986658583698954E-6 
 0.0012489447152397304  -0.0014842251984532595  9.542252506093973E-4  -0.0011332867799609403  -0.0012489447152397304  5.33820851700284E-6  0.0014842251984532595  -5.33820851700284E-6  -9.542252506093973E-4  4.076906904515454E-6  0.0011332867799609403  -4.076906904515454E-6 
 0.0012650399694962289  -0.0015061883368652218  9.672156461846271E-4  -0.0011508774621233897  -0.0012650399694962289  5.417131038853995E-6  0.0015061883368652218  -5.417131038853995E-6  -9.672156461846271E-4  4.140147979114772E-6  0.0011508774621233897  -4.140147979114772E-6 
 0.0012756124713604322  -0.0015216551407384316  9.75163130533474E-4  -0.001162529082549213  -0.0012756124713604322  5.4727098088847015E-6  0.0015216551407384316  -5.4727098088847015E-6  -9.75163130533474E-4  4.182035354460822E-6  0.001162529082549213  -4.182035354460822E-6 
 0.0012851069462804787  -0.0015358958890310248  9.825217967573963E-4  -0.0011735241968438004  -0.0012851069462804787  5.5238824039349765E-6  0.0015358958890310248  -5.5238824039349765E-6  -9.825217967573963E-4  4.221562292627823E-6  0.0011735241968438004  -4.221562292627823E-6 
 83.67841715147101  84.03593232826336  83.67812190713254  84.03616185997636  -83.67841715147101  0.3603648682503007  -84.03593232826336  -0.3603648682503007  -83.67812190713254  0.3602187719197616  -84.03616185997636  -0.3602187719197616 
 83.75829453520308  84.10940346116666  83.75820112172119  84.10947597348527  -83.75829453520308  0.354296313457624  -84.10940346116666  -0.354296313457624  -83.75820112172119  0.35427684695295625  -84.10947597348527  -0.35427684695295625 
 83.83457711774233  84.1859610670451  83.8345009036224  84.18601991204562  -83.83457711774233  0.35462516550850864  -84.1859610670451  -0.35462516550850864  -83.8345009036224  0.35460989710884405  -84.18601991204562  -0.35460989710884405 
 83.9110260272736  84.26263689973814  83.91096099049321  84.262686850634  -83.9110260272736  0.35496148573827213  -84.26263689973814  -0.35496148573827213  -83.91096099049321  0.3549489188508801  -84.262686850634  -0.3549489188508801 
 83.98762592237286  84.33944376541946  83.98756936421269  84.33948696811696  -83.98762592237286  0.3553012482132516  -84.33944376541946  -0.3553012482132516  -83.98756936421269  0.35529071869297013  -84.33948696811696  -0.35529071869297013 
 84.02593890290645  84.37793354838182  84.0258933748547  84.37797040306641  -84.02593890290645  0.35543908449561457  -84.37793354838182  -0.35543908449561457  -84.0258933748547  0.35543099573234826  -84.37797040306641  -0.35543099573234826 
 84.06429713377784  84.41644751570942  84.0642594859077  84.4164781930455  -84.06429713377784  0.3556016986762529  -84.41644751570942  -0.3556016986762529  -84.0642594859077  0.3555955282595846  -84.4164781930455  -0.3555955282595846 
 84.10269675771715  84.45499170935564  84.10266565973171  84.45501725909733  -84.10269675771715  0.35576611106509404  -84.45499170935564  -0.35576611106509404  -84.10266565973171  0.35576151754401053  -84.45501725909733  -0.35576151754401053 
 84.14117472529865  84.49353747132179  84.14114927529887  84.49355860640621  -84.1411746895916  0.3559318991115248  -84.49353756790033  -0.3559318991115248  -84.14114923984874  0.35592865456436584  -84.49355870195888  -0.35592865456436584 
 84.16680063806298  84.51928917285424  84.16678083316658  84.5193054651633  -84.16680060315937  0.3560301913658179  -84.51928926794707  -0.3560301913658179  -84.16678079840429  0.3560283828301749  -84.51930555955087  -0.3560283828301749 
 84.19244747339704  84.54505300551672  84.19243274301851  84.54506534525564  -84.19244743860082  0.35613707122307403  -84.54505310032387  -0.35613707122307403  -84.1924327082659  0.3561364772119475  -84.5450654396308  -0.3561364772119475 
 84.2181129543016  84.57083020497376  84.21810266404587  84.57083909056723  -84.21811291954964  0.3562448011266355  -84.57083029966527  -0.3562448011266355  -84.21810262925271  0.35624526000509604  -84.57083918506464  -0.35624526000509604 
 84.24375824179789  84.59665097852216  84.24375191757244  84.59665678289619  -84.243758288234  0.3563529937089953  -84.59665107481852  -0.3563529937089953  -84.24375196416419  0.35635438655927487  -84.59665687921044  -0.35635438655927487 
 84.23726854204479  84.59025104277353  84.2372667427124  84.59025100864105  -84.23726856603061  0.356290999074389  -84.59025109352608  -0.356290999074389  -84.23726676687475  0.3562938541932681  -84.59025105958857  -0.3562938541932681 
 84.23079060266285  84.58384674028447  84.2307935176173  84.58384304610026  -84.23079061293454  0.35624948558252356  -84.58384676203967  -0.35624948558252356  -84.2307935279982  0.3562534824424688  -84.58384306800707  -0.3562534824424688 
 84.22431887706455  84.57743936868974  84.22432563177689  84.57743269264978  -84.2243188795444  0.3562093244798632  -84.57743937394662  -0.3562093244798632  -84.22432563429017  0.3562142332757503  -84.57743269795766  -0.3562142332757503 
 0.0013724062869719944  -0.0016140041703884833  0.0013837619484320385  -0.0016273980392753629  -0.0013724062869719944  5.804115772889418E-6  0.0016140041703884833  -5.804115772889418E-6  -0.0013837619484320385  5.852233101677484E-6  0.0016273980392753629  -5.852233101677484E-6 
 0.001384948716378176  -0.0016579173934552216  0.0012119146566362815  -0.0014520683413223878  -0.001384948716378176  5.962337116471872E-6  0.0016579173934552216  -5.962337116471872E-6  -0.0012119146566362815  5.22214985210212E-6  0.0014520683413223878  -5.22214985210212E-6 
 0.0013922072640042416  -0.0016696350550482464  0.0012043326259032483  -0.0014454648872543885  -0.0013922072640042416  6.00446037779534E-6  0.0016696350550482464  -6.00446037779534E-6  -0.0012043326259032483  5.1988277647296854E-6  0.0014454648872543885  -5.1988277647296854E-6 
 0.0013962200907364775  -0.001676343340676567  0.001199539895850421  -0.0014411941315870536  -0.0013962200907364775  6.028560157744778E-6  0.001676343340676567  -6.028560157744778E-6  -0.001199539895850421  5.183522461038592E-6  0.0014411941315870536  -5.183522461038592E-6 
 0.0013997876727991354  -0.0016820864119004852  0.001196465455691964  -0.0014386275846476337  -0.0013997876727991354  6.04919132385362E-6  0.0016820864119004852  -6.04919132385362E-6  -0.001196465455691964  5.1743170104145975E-6  0.0014386275846476337  -5.1743170104145975E-6 
 0.0014022990796824786  -0.0016857154362917015  0.001193588051123129  -0.001435584927875766  -0.0014022990796824786  6.062228454339902E-6  0.0016857154362917015  -6.062228454339902E-6  -0.001193588051123129  5.16345559731235E-6  0.001435584927875766  -5.16345559731235E-6 
 0.0014041915886409129  -0.0016884250635911258  0.0011909295583336643  -0.0014326696200015476  -0.0014041915886409129  6.0719606409520566E-6  0.0016884250635911258  -6.0719606409520566E-6  -0.0011909295583336643  5.152973798772109E-6  0.0014326696200015476  -5.152973798772109E-6 
 0.0014059437439293276  -0.001690839021652124  0.0011887512667385636  -0.0014302334394642457  -0.0014059437439293276  6.08063087526034E-6  0.001690839021652124  -6.08063087526034E-6  -0.0011887512667385636  5.144214838992411E-6  0.0014302334394642457  -5.144214838992411E-6 
 0.001407598513583963  -0.0016930406018644817  0.0011869601269580698  -0.0014281900777888268  -0.001407598513583963  6.08853832773093E-6  0.0016930406018644817  -6.08853832773093E-6  -0.0011869601269580698  5.1368682960628576E-6  0.0014281900777888268  -5.1368682960628576E-6 
 0.00141112592257997  -0.001698608434132609  0.0011874081556584315  -0.0014297847889537252  -0.00141112592257997  6.108541260374523E-6  0.001698608434132609  -6.108541260374523E-6  -0.0011874081556584315  5.142653435541433E-6  0.0014297847889537252  -5.142653435541433E-6 
 0.0014158478757906323  -0.0017055652420481238  0.0011893289543820629  -0.0014331131338849445  -0.0014158478757906323  6.133533620555909E-6  0.0017055652420481238  -6.133533620555909E-6  -0.0011893289543820629  5.154614811431202E-6  0.0014331131338849445  -5.154614811431202E-6 
