Hour	Zone0	Zone1	Zone2	Zone3	Zone4	
586	180.00 	195.12 	3.68 	196.15 	4.82 	
587	192.00 	178.20 	22.47 	179.81 	22.89 	
588	181.00 	178.60 	43.00 	180.02 	43.94 	
589	167.00 	158.32 	63.83 	159.91 	64.42 	
590	142.00 	153.65 	69.57 	156.04 	69.85 	
591	143.00 	148.05 	75.65 	150.82 	75.66 	
592	196.00 	133.76 	106.81 	135.85 	106.70 	
593	212.00 	147.17 	112.76 	149.04 	113.05 	
594	301.00 	161.17 	116.60 	163.44 	117.20 	
595	292.00 	28.14 	3.67 	28.17 	3.40 	
596	252.00 	240.16 	245.56 	240.18 	245.58 	
597	111.00 	106.17 	108.16 	106.18 	108.17 	
598	93.00 	88.37 	90.61 	88.37 	90.62 	
599	64.00 	60.81 	62.35 	60.81 	62.35 	
600	65.00 	0.17 	0.80 	0.17 	0.77 	
601	56.00 	0.01 	0.64 	0.01 	0.61 	
602	60.00 	0.01 	0.69 	0.01 	0.66 	
603	89.00 	0.01 	1.04 	0.01 	0.99 	
604	180.00 	0.02 	2.12 	0.02 	2.02 	
605	180.00 	0.03 	2.13 	0.02 	2.03 	
606	180.00 	0.03 	2.14 	0.02 	2.04 	
607	180.00 	0.03 	2.15 	0.02 	2.05 	
608	180.00 	0.03 	2.16 	0.02 	2.06 	
609	215.00 	27.73 	2.59 	27.75 	2.47 	
610	239.00 	204.27 	17.10 	204.42 	17.18 	
611	210.00 	173.22 	54.35 	173.49 	54.22 	
612	183.00 	164.39 	63.88 	165.04 	63.34 	
613	164.00 	149.23 	80.36 	149.82 	79.79 	
614	164.00 	145.18 	85.42 	146.04 	84.56 	
615	180.00 	141.09 	92.10 	142.05 	90.98 	
616	154.00 	134.16 	101.24 	134.91 	100.24 	
617	213.00 	145.54 	107.12 	146.37 	106.48 	
618	302.00 	184.14 	122.25 	184.87 	121.99 	
619	302.00 	27.84 	12.17 	27.84 	12.13 	
620	230.00 	219.15 	223.98 	219.17 	224.00 	
621	230.00 	219.14 	223.96 	219.15 	223.97 	
622	120.00 	113.99 	116.86 	114.00 	116.87 	
623	120.00 	114.00 	116.87 	114.00 	116.87 	
624	110.00 	1.53 	0.31 	1.56 	0.31 	
625	79.00 	0.95 	0.01 	0.97 	0.01 	
626	89.00 	0.01 	0.98 	0.01 	0.95 	
627	88.00 	0.01 	1.07 	0.01 	1.04 	
628	105.00 	0.01 	0.88 	0.02 	0.82 	
629	172.00 	0.88 	0.10 	1.02 	0.06 	
630	172.00 	0.09 	4.01 	0.09 	3.98 	
631	172.00 	0.02 	1.87 	0.02 	1.80 	
632	172.00 	2.83 	0.05 	2.88 	0.06 	
633	172.00 	27.22 	6.63 	27.22 	6.61 	
634	287.00 	172.97 	70.58 	172.92 	70.41 	
635	245.00 	165.90 	83.20 	166.13 	82.59 	
636	229.00 	159.49 	95.68 	159.98 	94.67 	
637	211.00 	151.47 	114.20 	151.88 	113.20 	
638	174.00 	157.28 	123.45 	157.67 	122.83 	
639	263.00 	156.18 	135.77 	156.75 	134.79 	
640	237.00 	154.87 	164.55 	155.03 	163.77 	
641	296.00 	174.32 	164.78 	174.82 	164.18 	
642	318.00 	174.10 	176.48 	174.53 	175.21 	
643	318.00 	28.92 	0.94 	29.94 	0.59 	
644	318.00 	302.79 	309.75 	302.82 	309.78 	
645	318.00 	302.80 	309.74 	302.81 	309.75 	
646	305.00 	289.75 	297.04 	289.76 	297.05 	
647	127.00 	120.67 	123.70 	120.67 	123.70 	
648	117.00 	0.35 	1.61 	0.34 	1.56 	
649	118.00 	0.02 	1.40 	0.02 	1.34 	
650	179.00 	0.02 	2.12 	0.02 	2.02 	
651	179.00 	0.03 	2.20 	0.02 	2.10 	
652	236.00 	0.05 	3.43 	0.05 	3.31 	
653	257.00 	0.04 	2.99 	0.03 	2.82 	
654	232.00 	0.04 	2.87 	0.03 	2.73 	
655	260.00 	0.04 	3.28 	0.04 	3.12 	
656	293.00 	0.03 	2.65 	0.02 	2.39 	
657	293.00 	27.71 	3.59 	27.73 	3.41 	
658	207.00 	175.62 	33.94 	175.67 	33.49 	
659	189.00 	166.77 	45.27 	167.42 	44.11 	
660	189.00 	156.51 	58.49 	157.52 	56.81 	
661	164.00 	140.85 	77.37 	141.58 	75.76 	
662	134.00 	135.30 	82.88 	136.11 	81.15 	
663	166.00 	131.26 	90.00 	132.12 	87.98 	
664	201.00 	128.30 	99.19 	129.12 	96.72 	
665	270.00 	126.54 	112.93 	127.20 	109.71 	
666	438.00 	126.53 	139.25 	126.84 	134.48 	
667	294.00 	28.03 	4.42 	28.05 	4.12 	
668	254.00 	241.94 	247.34 	241.96 	247.36 	
669	166.00 	158.37 	161.64 	158.38 	161.65 	
670	108.00 	0.44 	1.58 	0.44 	1.51 	
671	103.00 	0.02 	1.55 	0.02 	1.48 	
672	94.00 	0.02 	1.27 	0.02 	1.20 	
673	83.00 	0.04 	1.86 	0.04 	1.82 	
674	111.00 	0.13 	3.84 	0.13 	3.81 	
675	115.00 	0.02 	1.53 	0.02 	1.44 	
676	180.00 	0.12 	4.65 	0.12 	4.58 	
677	219.00 	0.04 	3.11 	0.04 	2.94 	
678	205.00 	0.04 	2.71 	0.03 	2.54 	
679	381.00 	0.08 	5.39 	0.07 	5.10 	
680	386.00 	0.04 	3.87 	0.03 	3.43 	
681	386.00 	27.70 	5.63 	27.72 	5.33 	
682	319.00 	181.66 	32.92 	181.91 	31.31 	
683	196.00 	185.00 	54.97 	185.25 	54.01 	
684	157.00 	173.15 	65.13 	173.93 	63.76 	
685	185.00 	164.20 	76.30 	165.43 	74.35 	
686	155.00 	156.34 	83.90 	157.76 	81.68 	
687	231.00 	150.42 	97.48 	151.89 	94.58 	
688	242.00 	146.11 	111.26 	147.42 	107.81 	
689	267.00 	143.66 	125.22 	144.71 	121.11 	
690	315.00 	142.81 	140.83 	143.50 	135.75 	
691	315.00 	28.04 	5.24 	28.06 	4.88 	
692	203.00 	193.49 	197.67 	193.51 	197.69 	
693	147.00 	140.34 	143.16 	140.35 	143.17 	
694	119.00 	0.41 	1.97 	0.40 	1.89 	
695	94.00 	0.02 	1.37 	0.02 	1.29 	
696	82.00 	0.02 	1.21 	0.02 	1.14 	
697	70.00 	0.02 	1.10 	0.02 	1.05 	
698	94.00 	0.02 	1.49 	0.02 	1.42 	
699	74.00 	0.01 	0.94 	0.01 	0.86 	
700	104.00 	0.02 	1.58 	0.02 	1.49 	
701	219.00 	0.05 	3.35 	0.05 	3.16 	
702	205.00 	0.05 	3.16 	0.04 	2.98 	
703	381.00 	0.09 	5.88 	0.08 	5.55 	
704	386.00 	0.09 	5.94 	0.08 	5.61 	
705	386.00 	27.69 	6.06 	27.71 	5.73 	
706	319.00 	181.32 	35.33 	181.57 	33.57 	
707	196.00 	168.60 	51.82 	169.33 	49.39 	
708	157.00 	153.36 	66.65 	154.08 	64.12 	
709	185.00 	140.58 	86.64 	141.01 	84.12 	
710	155.00 	136.33 	93.43 	136.91 	90.72 	
711	166.00 	132.86 	100.77 	133.42 	97.89 	
712	201.00 	137.75 	102.74 	138.74 	100.33 	
713	270.00 	135.49 	118.32 	136.36 	115.00 	
714	438.00 	135.38 	148.93 	135.81 	143.80 	
715	294.00 	28.00 	5.28 	28.02 	4.92 	
716	254.00 	241.95 	247.36 	241.98 	247.38 	
717	166.00 	158.39 	161.68 	158.40 	161.69 	
718	108.00 	102.61 	105.18 	102.61 	105.19 	
719	103.00 	0.30 	1.68 	0.30 	1.61 	
720	94.00 	0.02 	1.41 	0.02 	1.34 	
721	83.00 	0.02 	1.28 	0.02 	1.21 	
722	111.00 	0.03 	1.71 	0.02 	1.61 	
723	115.00 	0.03 	1.78 	0.02 	1.68 	
724	180.00 	0.04 	2.81 	0.04 	2.65 	
725	219.00 	0.05 	3.45 	0.05 	3.26 	
726	205.00 	0.07 	3.87 	0.07 	3.72 	
727	381.00 	0.09 	5.91 	0.08 	5.56 	
728	386.00 	0.03 	3.35 	0.02 	2.65 	
729	386.00 	27.56 	10.49 	27.56 	10.30 	
730	319.00 	181.48 	38.84 	181.74 	37.18 	
731	196.00 	165.10 	60.03 	165.56 	58.04 	
732	157.00 	154.88 	70.26 	155.64 	67.94 	
733	185.00 	146.78 	82.87 	147.67 	80.18 	
734	155.00 	137.00 	95.24 	137.48 	92.77 	
735	166.00 	133.42 	102.32 	133.88 	99.67 	
736	201.00 	130.41 	115.27 	130.58 	112.55 	
737	270.00 	129.77 	130.20 	129.70 	126.79 	
738	438.00 	131.25 	159.45 	130.71 	154.44 	
739	294.00 	27.99 	5.35 	28.01 	5.02 	
740	254.00 	241.93 	247.32 	241.95 	247.34 	
741	166.00 	158.37 	161.64 	158.38 	161.65 	
742	108.00 	0.45 	1.91 	0.45 	1.83 	
743	103.00 	0.03 	1.62 	0.02 	1.54 	
744	94.00 	0.02 	1.50 	0.02 	1.42 	
