Medium
Eta	BHP	Gamma	Zone 1		Zone 2		Zone 3		Zone 4		
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	5236.12	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	10471.41	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	15705.86	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	20939.45	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	26172.39	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	31404.91	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	36637.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	41868.66	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	47099.95	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	52330.97	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	57561.69	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	62792.12	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	68022.44	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	73252.84	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	78483.30	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	83539.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	88775.43	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	94010.75	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	99245.44	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	104479.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	109713.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	114946.08	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	120178.74	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	125410.97	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	130642.82	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	135874.35	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	141105.56	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	146336.44	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	151567.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	156797.66	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	162028.11	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	167084.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	167084.11	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	172320.32	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	177555.59	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	182789.90	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	188023.26	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	193255.96	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	198488.33	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	203720.39	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	208952.12	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	214183.52	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	219414.56	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	224645.24	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	229875.56	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	235105.79	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	240336.20	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	245566.78	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.44	250623.19	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
