 Q/sqrt(p)[0][1]  Q/sqrt(p)[0][2]  Q/sqrt(p)[0][3]  Q/sqrt(p)[0][4]  Q/sqrt(p)[1][0]  Q/sqrt(p)[1][2]  Q/sqrt(p)[2][0]  Q/sqrt(p)[2][1]  Q/sqrt(p)[3][0]  Q/sqrt(p)[3][4]  Q/sqrt(p)[4][0]  Q/sqrt(p)[4][3] 
 -2.126201425356488  -2.126201425356488  -5.9061150704347085  -5.9061150704347085  2.126201425356488  0.0  2.126201425356488  0.0  5.9061150704347085  0.0  5.9061150704347085  0.0 
 0.10052962353877282  0.09457568892695199  0.1005296235387728  0.09457568892695198  0.10052962353877279  1.5466095929041968  0.094575688926952  1.5466095929041968  0.1005296235387728  1.546609592904197  0.09457568892695198  1.546609592904197 
 0.10050492787820142  0.09452995700445056  0.1005046195059292  0.09452995700445056  0.10050492787820141  1.546242881409802  0.09452995700445055  1.546242881409802  0.1005046195059292  1.546238912884442  0.09452995700445056  1.546238912884442 
 0.10050013482912767  0.09448429135864879  0.10050037809203721  0.09448429135864879  0.10050013482912767  1.5461743233162148  0.09448429135864882  1.5461743233162148  0.10050037809203724  1.5461790262766413  0.09448429135864882  1.5461790262766413 
 0.1004967286871994  0.09443869182961603  0.1004974345447663  0.09443869182961602  0.1004967286871994  1.5461255824764746  0.09443869182961605  1.5461255824764746  0.1004974345447663  1.546137320570832  0.09443869182961605  1.546137320570832 
 0.10225925477945823  0.09276514030184696  0.10225925477945823  0.09276619179873428  0.10225925477945823  1.5460603443468794  0.09276514030184695  1.5460603443468794  0.10225925477945823  1.5460771065498424  0.09276619179873431  1.5460771065498424 
 0.10229960877190947  0.09276170786123268  0.10229960877190945  0.09276299783145525  0.10229960877190947  1.5460940641074545  0.09276170786123268  1.5460940641074545  0.10229960877190947  1.5461187981484166  0.09276299783145524  1.5461187981484166 
 0.102340010576102  0.0927596161412814  0.102340010576102  0.09276118049562831  0.10234001057610198  1.546079141502183  0.09275961614128142  1.546079141502183  0.10234001057610198  1.546108416430487  0.09276118049562831  1.546108416430487 
 0.10238046028652338  0.09275773145727538  0.10238046028652337  0.09275954870054087  0.10238046028652337  1.5460654127546718  0.0927577314572754  1.5460654127546718  0.10238046028652335  1.546098668849029  0.09275954870054089  1.546098668849029 
 0.10242095799792278  0.09275598450964721  0.10242095799792278  0.09275804146737454  0.10242095799792277  1.546053853061379  0.09275598450964721  1.546053853061379  0.10242095799792278  1.546090808788704  0.09275804146737454  1.546090808788704 
 0.1024119543534064  0.09275433801796207  0.10241195435340639  0.0927566240505534  0.1024119543534064  1.5460335746771379  0.09275433801796205  1.5460335746771379  0.1024119543534064  1.546073717750974  0.0927566240505534  1.546073717750974 
 0.10240295308295584  0.09275276970654595  0.10240295308295587  0.09275527872956667  0.10240295308295586  1.546009728865271  0.09275276970654595  1.546009728865271  0.10240295308295587  1.5460527682779617  0.09275527872956668  1.5460527682779617 
 0.10239395418552798  0.09275126415856237  0.10239395418552796  0.09275399316701853  0.10239395418552795  1.545985724335825  0.09275126415856239  1.545985724335825  0.10239395418552798  1.546031694992796  0.09275399316701853  1.546031694992796 
 0.10238495766008024  0.09274980921736861  0.10238495766008024  0.09275275703825837  0.10238495766008027  1.5459617624296325  0.09274980921736861  1.5459617624296325  0.10238495766008025  1.546010721537194  0.09275275703825839  1.546010721537194 
 0.10240295308295584  0.09274837802903949  0.10240295308295586  0.09275154363536739  0.10240295308295587  1.5458879855688947  0.09274837802903949  1.5458879855688947  0.10240295308295584  1.5459377248604627  0.09275154363536742  1.5459377248604627 
 0.10242095799792278  0.09274699718634555  0.10242095799792278  0.09275038234126126  0.10242095799792278  1.5458613764708893  0.09274699718634552  1.5458613764708893  0.10242095799792277  1.5459145435552004  0.09275038234126126  1.5459145435552004 
