New Delhi Delhi IND
December to December - daily simulation
28.58
216
Temp	WindVel	WindDir	SDirR	SDiffR	DTemp	DWVel	DWDir	DSDirR	DSDiffR	omega	Domega	Declination
12.7	0	0	0	0	0.2	0	0	0	0	0.0075	0.0002	-23.35
12.9	0	0	0	0	-0.9	0	0	0	0	0.0077	0	-23.35
12	0	0	0	0	0	0	13	0	0	0.0077	-0.0001	-23.35
12	0	13	0	0	-1.1	0.2	46	0	0	0.0076	-0.0003	-23.35
10.9	0.2	59	0	0	-0.7	-0.2	-59	0	0	0.0073	-0.0007	-23.35
10.2	0	0	0	0	-0.4	0.3	60	0	0	0.0066	0	-23.35
9.8	0.3	60	0	0	0.9	0.1	86	0	0	0.0066	0	-23.35
10.7	0.4	146	0	0	1.5	0.7	146	0	0	0.0066	0.0002	-23.35
12.2	1.1	292	0	0	2.8	0.3	52	342	61	0.0068	0.0002	-23.35
15	1.4	344	342	61	2.6	0.8	-321	335	11	0.007	0.0002	-23.35
17.6	2.2	23	677	72	2.8	0.6	314	299	-27	0.0072	-0.0001	-23.35
20.4	2.8	337	976	45	1.7	1.1	4	120	-14	0.0071	-0.0004	-23.35
22.1	3.9	341	1096	31	1.4	0.4	-24	-134	34	0.0067	-0.0005	-23.35
23.5	4.3	317	962	65	0.3	0.1	43	-42	8	0.0062	-0.0004	-23.35
23.8	4.4	360	920	73	0.2	-1	-6	-686	147	0.0058	-0.0003	-23.35
24	3.4	354	234	220	-0.9	-0.9	-327	163	-83	0.0055	0.0002	-23.35
23.1	2.5	27	397	137	-1.3	-1.4	333	-335	-59	0.0057	0.0004	-23.35
21.8	1.1	360	62	78	-2.5	-0.4	-350	-62	-78	0.0061	0.0005	-23.35
19.3	0.7	10	0	0	-2.4	-0.4	311	0	0	0.0066	0.0003	-23.35
16.9	0.3	321	0	0	-2.5	0.3	-6	0	0	0.0069	0.0002	-23.35
14.4	0.6	315	0	0	-1.2	-0.2	-47	0	0	0.0071	-0.0002	-23.35
13.2	0.4	268	0	0	-0.8	0.3	31	0	0	0.0069	0	-23.35
12.4	0.7	299	0	0	0.2	-0.1	16	0	0	0.0069	-0.0001	-23.35
12.6	0.6	315	0	0	-0.1	0.4	-288	0	0	0.0068	0.0004	-23.35
12.5	1	27	0	0	0.1	-0.1	-14	0	0	0.0072	0.0002	-23.35
12.6	0.9	13	0	0	-0.6	0.2	324	0	0	0.0074	0.0001	-23.35
12	1.1	337	0	0	-0.4	-0.5	-147	0	0	0.0075	-0.0002	-23.35
11.6	0.6	190	0	0	-1	-0.1	-103	0	0	0.0073	-0.0004	-23.35
10.6	0.5	87	0	0	0.6	0.6	205	0	0	0.0069	-0.0008	-23.35
11.2	1.1	292	0	0	-0.3	-0.3	-143	0	0	0.0061	0	-23.35
10.9	0.8	149	0	0	0.7	-0.3	-87	0	0	0.0061	0.0002	-23.35
11.6	0.5	62	0	0	0.8	-0.5	-62	0	0	0.0063	0.0003	-23.35
12.4	0	0	0	0	2.4	0.3	84	264	58	0.0066	0.0003	-23.35
14.8	0.3	84	264	58	2.5	0.6	102	380	18	0.0069	0	-23.35
17.3	0.9	186	644	76	2.9	1.3	151	370	-38	0.0069	0	-23.35
20.2	2.2	337	1014	38	1.6	1	-316	55	-2	0.0069	-0.0003	-23.35
21.8	3.2	21	1069	36	1.2	0.8	22	-17	8	0.0066	-0.0004	-23.35
23	4	43	1052	44	-0.4	-0.1	294	-289	70	0.0062	-0.0003	-23.35
22.6	3.9	337	763	114	-0.4	-0.5	-15	-444	95	0.0059	0	-23.35
22.2	3.4	322	319	209	-1.4	-1.3	-39	-38	-55	0.0059	0.0003	-23.35
20.8	2.1	283	281	154	-1.2	-1	32	-255	-91	0.0062	0.0004	-23.35
19.6	1.1	315	26	63	-1.9	-0.9	-12	-26	-63	0.0066	0.0003	-23.35
17.7	0.2	303	0	0	-1.1	0	33	0	0	0.0069	0.0001	-23.35
16.6	0.2	336	0	0	-1.2	0.4	-21	0	0	0.007	-0.0001	-23.35
15.4	0.6	315	0	0	-0.2	0.9	22	0	0	0.0069	-0.0003	-23.35
15.2	1.5	337	0	0	-0.7	0.5	-32	0	0	0.0066	-0.0001	-23.35
14.5	2	305	0	0	-0.3	0.2	10	0	0	0.0065	-0.0001	-23.35
14.2	2.2	315	0	0	-1.2	-0.6	-36	0	0	0.0064	0.0002	-23.35
13	1.6	279	0	0	-0.8	-0.5	31	0	0	0.0066	0.0001	-23.35
12.2	1.1	310	0	0	-1	-0.5	5	0	0	0.0067	0.0002	-23.35
11.2	0.6	315	0	0	0	0.1	-306	0	0	0.0069	-0.0002	-23.35
11.2	0.7	9	0	0	-0.3	0.1	329	0	0	0.0067	-0.0002	-23.35
10.9	0.8	338	0	0	-0.9	0.9	-46	0	0	0.0065	-0.0009	-23.35
10	1.7	292	0	0	-0.7	0.3	2	0	0	0.0056	0.0002	-23.35
9.3	2	294	0	0	0.5	0.5	8	0	0	0.0058	0.0003	-23.35
9.8	2.5	302	0	0	1.6	0.3	13	0	0	0.0061	0.0005	-23.35
11.4	2.8	315	0	0	2.8	0.7	11	75	56	0.0066	0.0002	-23.35
14.2	3.5	326	75	56	3.1	0.6	8	727	-3	0.0068	0.0001	-23.35
17.3	4.1	334	802	53	3.1	0.9	3	398	-43	0.0069	-0.0003	-23.35
20.4	5	337	1200	10	2.1	0.4	0	14	1	0.0066	0	-23.35
22.5	5.4	337	1214	11	1.2	0.2	0	-231	49	0.0066	-0.0005	-23.35
23.7	5.6	337	983	60	0.1	-0.6	0	-418	108	0.0061	0.0003	-23.35
23.8	5	337	565	168	-0.5	-0.7	2	-109	2	0.0064	0	-23.35
23.3	4.3	339	456	170	-1.2	-1.2	0	-118	-25	0.0064	0.0002	-23.35
22.1	3.1	339	338	145	-1.5	-0.9	-2	-192	-56	0.0066	0.0002	-23.35
20.6	2.2	337	146	89	-1.9	-0.8	-6	-146	-89	0.0068	0.0005	-23.35
18.7	1.4	331	0	0	-1.7	0	-8	0	0	0.0073	-0.0001	-23.35
17	1.4	323	0	0	-1.6	0.3	-8	0	0	0.0072	-0.0001	-23.35
15.4	1.7	315	0	0	-0.8	0.9	-5	0	0	0.0071	-0.0004	-23.35
14.6	2.6	310	0	0	-0.5	0.5	1	0	0	0.0067	-0.0002	-23.35
